"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"415","ENSG00000154229",17503.8,-0.4002488,0.11164034,3.871732e-06,0.0001993729,"PRKCA","DOWN"
"416","ENSG00000154319",110.6002,-0.7090804,0.41533866,0.0005317798,0.01213313,"FAM167A","DOWN"
"417","ENSG00000154330",220.3023,-0.7094549,0.30138485,0.0001387306,0.004006727,"PGM5","DOWN"
"418","ENSG00000154545",1351.782,-0.3846771,0.17454357,0.0003856693,0.009376116,"MAGED4","DOWN"
"419","ENSG00000154556",70.89107,-0.9409496,0.59875677,0.000347941,0.008616906,"SORBS2","DOWN"
"420","ENSG00000154760",455.1412,-0.3767925,0.25791294,0.002540211,0.04076516,"SLFN13","DOWN"
"421","ENSG00000155115",977.8381,-0.9196935,0.16833956,2.261827e-09,2.600962e-07,"GTF3C6","DOWN"
"422","ENSG00000155495",4192.355,-0.4912957,0.11665256,2.204983e-07,1.653208e-05,"MAGEC1","DOWN"
"423","ENSG00000155761",250.854,-1.025754,0.33297302,1.623732e-05,0.0006641437,"SPAG17","DOWN"
"424","ENSG00000155957",732.2236,-0.2946937,0.16587895,0.002106041,0.03534076,"TMBIM4","DOWN"
"425","ENSG00000155959",3838.908,-0.4422577,0.14315503,1.991813e-05,0.000790986,"VBP1","DOWN"
"426","ENSG00000155962",110.358,-1.170328,0.3885015,1.502738e-05,0.0006190621,"CLIC2","DOWN"
"427","ENSG00000156011",6394.745,-0.5848633,0.11919313,1.408131e-08,1.381885e-06,"PSD3","DOWN"
"428","ENSG00000156239",834.3251,-0.2795167,0.15784906,0.002454459,0.03975463,"N6AMT1","DOWN"
"429","ENSG00000156475",137.065,-1.212312,0.39094753,1.138792e-05,0.0004862306,"PPP2R2B","DOWN"
"430","ENSG00000157214",685.818,-1.019721,0.2045377,1.927952e-08,1.797887e-06,"STEAP2","DOWN"
"431","ENSG00000157227",2302.732,-0.5745068,0.15167551,1.718654e-06,9.973515e-05,"MMP14","DOWN"
"432","ENSG00000157350",1619.374,-0.4094458,0.20030823,0.000527607,0.01208032,"ST3GAL2","DOWN"
"433","ENSG00000157483",645.3376,-1.008807,0.17432135,2.814878e-10,3.879564e-08,"MYO1E","DOWN"
"434","ENSG00000157502",388.7701,-0.3325933,0.2216041,0.002949596,0.04528029,"PWWP3B","DOWN"
"435","ENSG00000157613",813.4738,-0.8062653,0.14615086,1.968368e-09,2.29162e-07,"CREB3L1","DOWN"
"436","ENSG00000158270",178.691,-0.8817634,0.41496552,0.000162285,0.004601921,"COLEC12","DOWN"
"437","ENSG00000158296",45.88341,-0.8549919,0.62616678,0.0005723645,0.01294137,"SLC13A3","DOWN"
"438","ENSG00000158301",1374.057,-0.730322,0.1260563,3.801626e-10,5.089834e-08,"GPRASP2","DOWN"
"439","ENSG00000158864",3220.543,-0.6245871,0.11045426,4.084902e-10,5.392071e-08,"NDUFS2","DOWN"
"440","ENSG00000158966",1195.403,-0.304631,0.15560187,0.001271085,0.02428666,"CACHD1","DOWN"
"441","ENSG00000159352",5652.822,-0.4305349,0.12230383,4.257774e-06,0.0002128206,"PSMD4","DOWN"
"442","ENSG00000159388",1753.609,-0.6509115,0.13096448,1.679801e-08,1.590212e-06,"BTG2","DOWN"
"443","ENSG00000160094",691.5827,-0.4363743,0.24129871,0.0008742177,0.01806652,"ZNF362","DOWN"
"444","ENSG00000160179",392.2066,-0.6358508,0.2454307,8.385797e-05,0.002600935,"ABCG1","DOWN"
"445","ENSG00000161513",1287.042,-0.3968409,0.18138093,0.0003792068,0.00924298,"FDXR","DOWN"
"446","ENSG00000161533",3970.28,-0.3313102,0.12827127,0.0001979172,0.005399941,"ACOX1","DOWN"
"447","ENSG00000161970",14996.65,-0.4290078,0.14488629,3.21567e-05,0.001191217,"RPL26","DOWN"
"448","ENSG00000162244",8838.083,-0.2309004,0.1126997,0.002312002,0.03814803,"RPL29","DOWN"
"449","ENSG00000162298",1356.415,-0.3946634,0.18210742,0.000405217,0.009725207,"SYVN1","DOWN"
"450","ENSG00000162407",379.6432,-0.620643,0.2226861,4.96364e-05,0.001691609,"PLPP3","DOWN"
"451","ENSG00000162490",502.3414,-0.7981869,0.20318698,1.795557e-06,0.0001033165,"DRAXIN","DOWN"
"452","ENSG00000162618",347.5501,-1.450924,0.22278173,1.215911e-12,2.560791e-10,"ADGRL4","DOWN"
"453","ENSG00000162645",110.5046,-1.365866,0.37520168,2.15275e-06,0.0001208118,"GBP2","DOWN"
"454","ENSG00000162706",2305.874,-0.9004909,0.1320028,6.156402e-13,1.442445e-10,"CADM3","DOWN"
"455","ENSG00000162733",2211.79,-1.113571,0.118241,1.246899e-22,1.062358e-19,"DDR2","DOWN"
"456","ENSG00000162836",464.5378,-0.8743541,0.2839431,2.043489e-05,0.0008063822,"ACP6","DOWN"
"457","ENSG00000163110",2392.735,-0.3540137,0.12507095,7.753706e-05,0.002440809,"PDLIM5","DOWN"
"458","ENSG00000163132",121.5441,-0.4659222,0.37178456,0.002669134,0.04232677,"MSX1","DOWN"
"459","ENSG00000163171",2971.66,-0.3566237,0.1271941,8.233543e-05,0.002559362,"CDC42EP3","DOWN"
"460","ENSG00000163297",611.7829,-0.4654636,0.24244228,0.0006045059,0.01353838,"ANTXR2","DOWN"
"461","ENSG00000163453",275.6926,-0.5882756,0.28991306,0.0003550399,0.008779508,"IGFBP7","DOWN"
"462","ENSG00000163565",4261.439,-0.3171261,0.1207659,0.0002016415,0.005485585,"IFI16","DOWN"
"463","ENSG00000163629",4035.832,-0.4358176,0.12653646,5.596646e-06,0.0002682955,"PTPN13","DOWN"
"464","ENSG00000163661",153.7036,-1.213617,0.29063412,4.236507e-07,2.985304e-05,"PTX3","DOWN"
"465","ENSG00000163913",1213.119,-0.4019581,0.17883645,0.0003144475,0.007932712,"IFT122","DOWN"
"466","ENSG00000164040",3554.563,-0.3450885,0.11619246,5.440235e-05,0.001814444,"PGRMC2","DOWN"
