"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"8072","ENSG00000144224",3503.82,0.2744574,0.05264648,1.499324e-07,6.842314e-07,"UBXN4","UP"
"8073","ENSG00000144227",61.61047,1.293029,0.31384443,4.385586e-07,1.912788e-06,"NXPH2","UP"
"8074","ENSG00000144228",726.9556,-0.2263791,0.12440038,0.057917,0.112564,"SPOPL","NO"
"8075","ENSG00000144229",3.279244,0.4704107,0.725021,0.04588709,0.09187829,"THSD7B","NO"
"8076","ENSG00000144230",0.3458159,-0.004916249,0.63956583,0.9608804,NA,"GPR17","NO"
"8077","ENSG00000144231",3842.919,-0.563351,0.06099119,1.016317e-20,1.076057e-19,"POLR2D","DOWN"
"8078","ENSG00000144233",1739.626,0.002108657,0.0684229,0.9751142,0.986387,"AMMECR1L","NO"
"8079","ENSG00000144278",1028.978,0.1562561,0.09028336,0.07700425,0.1439792,"GALNT13","NO"
"8080","ENSG00000144283",2379.658,-0.1531987,0.07251036,0.03216931,0.06741532,"PKP4","NO"
"8081","ENSG00000144285",0.1556677,0.0187898,0.64031258,0.8514113,NA,"SCN1A","NO"
"8082","ENSG00000144290",0.6300107,0.06492767,0.62771819,0.6039115,NA,"SLC4A10","NO"
"8083","ENSG00000144306",1004.87,0.3663296,0.09222195,4.777427e-05,0.000166557,"SCRN3","UP"
"8084","ENSG00000144320",1436.624,-0.1210264,0.07565946,0.1044141,0.1863693,"LNPK","NO"
"8085","ENSG00000144331",105.3815,0.415961,0.22980146,0.03725165,0.07659656,"ZNF385B","NO"
"8086","ENSG00000144339",41.47032,0.1677994,0.30377898,0.4780608,0.6169744,"TMEFF2","NO"
"8087","ENSG00000144354",3670.14,0.1440787,0.04952161,0.003408338,0.008886326,"CDCA7","UP"
"8088","ENSG00000144355",504.659,-0.4832211,0.12086807,3.143761e-05,0.0001126089,"DLX1","DOWN"
"8089","ENSG00000144357",1614.58,-0.342902,0.07518699,3.620037e-06,1.452557e-05,"UBR3","DOWN"
"8090","ENSG00000144362",168.3399,0.2013764,0.17518351,0.2125103,0.3328688,"PHOSPHO2","NO"
"8091","ENSG00000144366",687.9369,0.1361028,0.11430431,0.2178506,0.3399487,"GULP1","NO"
"8092","ENSG00000144369",574.0157,0.2400931,0.09826333,0.01216209,0.02837049,"FAM171B","UP"
"8093","ENSG00000144381",36644.85,-0.5706655,0.0301451,2.514355e-80,1.750134e-78,"HSPD1","DOWN"
"8094","ENSG00000144395",510.4227,-0.08643704,0.14378805,0.5257543,0.6604479,"CCDC150","NO"
"8095","ENSG00000144401",530.4344,-0.1919188,0.1127114,0.07823065,0.1459137,"METTL21A","NO"
"8096","ENSG00000144406",5.425211,0.2826885,0.55569865,0.2266771,0.3511147,"UNC80","NO"
"8097","ENSG00000144407",0.3162579,0.0422706,0.64287138,0.6771958,NA,"PTH2R","NO"
"8098","ENSG00000144410",1.660961,-0.02437148,0.5548198,0.8968083,0.9395155,"CPO","NO"
"8099","ENSG00000144426",698.2232,-0.002632338,0.14588494,0.9847837,0.9910784,"NBEAL1","NO"
"8100","ENSG00000144445",196.4495,0.7913704,0.16595891,2.714994e-07,1.208033e-06,"KANSL1L","UP"
"8101","ENSG00000144451",316.4963,1.32245,0.1537296,6.284625e-20,6.37612e-19,"SPAG16","UP"
"8102","ENSG00000144452",2.920028,-0.07667885,0.52970763,0.713788,0.8140994,"ABCA12","NO"
"8103","ENSG00000144455",196.4553,-0.09231579,0.16186677,0.5413368,0.6739221,"SUMF1","NO"
"8104","ENSG00000144460",1.656479,0.2450761,0.64682889,0.175239,0.2841035,"NYAP2","NO"
"8105","ENSG00000144468",770.0554,0.5769728,0.11091684,7.300139e-08,3.424996e-07,"RHBDD1","UP"
"8106","ENSG00000144476",1.481616,0.003385868,0.57219513,0.9843922,0.9909646,"ACKR3","NO"
"8107","ENSG00000144481",1.852548,-0.07078295,0.59759457,0.651271,0.7663748,"TRPM8","NO"
"8108","ENSG00000144485",865.1474,-0.1996821,0.07902695,0.0101953,0.02416839,"HES6","DOWN"
"8109","ENSG00000144488",203.3835,-1.177436,0.23754772,1.271054e-08,6.394391e-08,"ESPNL","DOWN"
"8110","ENSG00000144504",217.0354,0.2733549,0.19735434,0.1244788,0.2155737,"ANKMY1","NO"
"8111","ENSG00000144524",1731.828,-0.3517751,0.06961923,3.042186e-07,1.346016e-06,"COPS7B","DOWN"
"8112","ENSG00000144535",649.3146,-0.1363511,0.0907853,0.124834,0.2160362,"DIS3L2","NO"
"8113","ENSG00000144550",19.66533,0.30057,0.4208563,0.247992,0.3769594,"CPNE9","NO"
"8114","ENSG00000144554",2692.511,0.1497208,0.06199018,0.01469343,0.03362134,"FANCD2","UP"
"8115","ENSG00000144559",383.6333,-0.3980016,0.13300297,0.001686349,0.004646514,"TAMM41","DOWN"
"8116","ENSG00000144560",973.3934,-0.05405293,0.08196097,0.5021426,0.6394884,"VGLL4","NO"
"8117","ENSG00000144566",1673.027,0.01312498,0.05961519,0.8241564,0.8924549,"RAB5A","NO"
"8118","ENSG00000144567",1852.489,-0.2191866,0.06488975,0.000635141,0.001877597,"RETREG2","DOWN"
"8119","ENSG00000144579",1711.158,0.1936003,0.07659448,0.01024772,0.02428221,"CTDSP1","UP"
"8120","ENSG00000144580",2833.21,-0.2382059,0.05243718,4.728823e-06,1.868579e-05,"CNOT9","DOWN"
"8121","ENSG00000144583",0.6423885,0.07448469,0.64805485,0.4832471,NA,"MARCHF4","NO"
"8122","ENSG00000144589",733.8605,-0.05692103,0.10088501,0.5623458,0.6928449,"STK11IP","NO"
"8123","ENSG00000144591",1107.755,-0.1426743,0.08049708,0.07140271,0.1348195,"GMPPA","NO"
"8124","ENSG00000144596",37.83949,0.2072856,0.31561304,0.389554,0.5314728,"GRIP2","NO"
"8125","ENSG00000144597",1374.698,-0.02993892,0.07159142,0.6717145,0.7808124,"EAF1","NO"
"8126","ENSG00000144635",1846.277,-0.3985918,0.06670875,1.452781e-09,7.866408e-09,"DYNC1LI1","DOWN"
"8127","ENSG00000144642",176.7318,0.1079237,0.18128562,0.5163658,0.6522189,"RBMS3","NO"
"8128","ENSG00000144644",13.38243,1.383423,0.74462537,0.0005629098,0.001679822,"GADL1","UP"
"8129","ENSG00000144645",353.1448,0.114814,0.14148972,0.3924729,0.534167,"OSBPL10","NO"
"8130","ENSG00000144647",1136.55,-0.1378106,0.07440548,0.06019933,0.1164255,"POMGNT2","NO"
"8131","ENSG00000144648",10.38602,0.9865699,0.7426296,0.004727374,0.0119896,"ACKR2","UP"
"8132","ENSG00000144649",133.1609,0.1415395,0.1976409,0.4273137,0.5682321,"GASK1A","NO"
"8133","ENSG00000144655",188.0029,0.3198276,0.17388791,0.04610722,0.09221803,"CSRNP1","NO"
"8134","ENSG00000144659",861.5394,-0.3098643,0.08112727,0.0001007968,0.0003365741,"SLC25A38","DOWN"
"8135","ENSG00000144668",194.85,1.803894,0.18588328,3.009998e-24,3.771471e-23,"ITGA9","UP"
"8136","ENSG00000144671",1.874898,-0.1551933,0.58222239,0.4121442,0.5538728,"SLC22A14","NO"
"8137","ENSG00000144674",2417.7,-0.2140211,0.06250274,0.0005398286,0.001615751,"GOLGA4","DOWN"
"8138","ENSG00000144677",986.4978,0.3916581,0.08256883,1.339652e-06,5.587794e-06,"CTDSPL","UP"
"8139","ENSG00000144681",274.466,0.9013408,0.14116975,1.48079e-11,9.295488e-11,"STAC","UP"
"8140","ENSG00000144711",1896.276,0.02910694,0.05848205,0.6155632,0.7382944,"IQSEC1","NO"
"8141","ENSG00000144712",842.6602,-0.3332378,0.09334012,0.0002560102,0.0008050258,"CAND2","DOWN"
"8142","ENSG00000144713",17106.16,-0.359044,0.03270797,3.422776e-28,5.099498e-27,"RPL32","DOWN"
"8143","ENSG00000144724",1949.349,0.04089686,0.05678058,0.4676412,0.606507,"PTPRG","NO"
"8144","ENSG00000144730",777.2344,0.8671966,0.10874532,1.637631e-16,1.392997e-15,"IL17RD","UP"
"8145","ENSG00000144736",1119.747,-0.69054,0.07562522,1.691309e-20,1.766149e-19,"SHQ1","DOWN"
"8146","ENSG00000144741",597.2984,-0.2705934,0.09875792,0.004908558,0.0124106,"SLC25A26","DOWN"
"8147","ENSG00000144744",1717.985,-0.5374252,0.06412357,2.272048e-17,2.03131e-16,"UBA3","DOWN"
"8148","ENSG00000144746",2611.302,0.1611884,0.05209341,0.001829993,0.005014753,"ARL6IP5","UP"
"8149","ENSG00000144747",1466.024,0.4993784,0.07556205,1.871805e-11,1.164403e-10,"TMF1","UP"
"8150","ENSG00000144749",1664.981,-0.3021849,0.06234776,9.656462e-07,4.077892e-06,"LRIG1","DOWN"
"8151","ENSG00000144785",366.8374,-1.416503,0.20042796,1.03283e-14,8.001891e-14,NA,"DOWN"
"8152","ENSG00000144791",1725.795,-0.3059349,0.09403777,0.000860807,0.002486087,"LIMD1","DOWN"
"8153","ENSG00000144792",0.4720204,0.06505594,0.64320745,0.5473844,NA,"ZNF660","NO"
