gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSG00000129295	34.46824	2.091742	0.50752316	1.5925e-07	7.242069e-07
ENSG00000129493	1584.955	-1.125998	0.24369903	8.87284e-08	4.132979e-07
ENSG00000129595	193.5334	1.195205	0.17628964	1.853676e-13	1.324526e-12
ENSG00000129646	187.6338	-1.379959	0.18585946	7.90235e-16	6.501318e-15
ENSG00000129682	209.7144	1.785077	0.17885191	1.849207e-25	2.455039e-24
ENSG00000129932	700.2714	-1.308633	0.09133693	1.1474339999999999e-48	3.685319e-47
ENSG00000129946	370.4136	2.073967	0.14345361	5.762024e-49	1.877977e-47
ENSG00000130119	2410.484	-1.179611	0.06286574	2.361645e-80	1.649041e-78
ENSG00000130204	4982.466	-1.313987	0.04523772	1.246421e-187	5.500458e-185
ENSG00000130234	153.1883	1.032316	0.20723667	2.457032e-08	1.204497e-07
ENSG00000130254	1822.366	-1.534765	0.08377726	3.035789e-77	1.9359730000000002e-75
ENSG00000130299	2146.563	-1.14839	0.05885743	1.710281e-86	1.36236e-84
ENSG00000130332	2555.485	-1.071688	0.06706248	5.668108e-59	2.373184e-57
ENSG00000130363	561.9989	1.392369	0.11154645	5.521236999999999e-38	1.183927e-36
ENSG00000130433	88.65758	2.81207	0.31723303	1.351825e-21	1.501158e-20
ENSG00000130700	117.5384	1.59481	0.22754389	1.441261e-14	1.108064e-13
ENSG00000130810	2158.303	-1.354296	0.05522242	5.0365299999999996e-135	9.922412999999999e-133
ENSG00000130822	49.20907	1.172705	0.39819187	6.392238e-05	0.0002193883
ENSG00000130958	36.33927	-2.93022	0.49107508	2.280163e-12	1.515416e-11
ENSG00000130988	30.35792	1.27144	0.48319028	0.000120627	0.0003989261
ENSG00000130997	254.4455	1.149232	0.1646751	5.911295e-14	4.369606e-13
ENSG00000131015	213.668	1.138923	0.16126366	3.446256e-14	2.593507e-13
ENSG00000131148	1245.943	-1.401259	0.07385876	1.595364e-82	1.169492e-80
ENSG00000131471	72.48566	-1.028596	0.29386033	1.767616e-05	6.52215e-05
ENSG00000131781	75.72075	1.784137	0.32455663	2.577909e-10	1.482062e-09
ENSG00000131876	5918.975	-1.134959	0.03806885	5.58193e-197	3.004031e-194
ENSG00000132031	79.85799	1.747023	0.28610709	7.027545e-12	4.515515e-11
ENSG00000132141	82.04911	1.294231	0.28429756	5.879201e-08	2.787378e-07
ENSG00000132256	479.778	1.070137	0.13592896	1.11269e-16	9.527163e-16
ENSG00000132313	1441.076	-1.178327	0.08241148	3.6196729999999995e-48	1.145884e-46
ENSG00000132334	110.7377	1.625385	0.24292907	1.365741e-13	9.880353e-13
ENSG00000132361	5084.999	-1.256624	0.0486526	4.164595e-149	1.10713e-146
ENSG00000132382	4967.063	-1.664573	0.05159643	1.8930919999999998e-230	1.816134e-227
ENSG00000132470	38.08189	1.206876	0.46422717	0.0001647169	0.000534011
ENSG00000132518	6.951067	1.814432	1.23565287	0.0002585396	0.0008115927
ENSG00000132603	1874.831	-1.746365	0.06370638	2.150817e-167	7.190572e-165
ENSG00000132613	2453.125	-1.005228	0.05228557	1.128517e-83	8.616172e-82
ENSG00000132669	83.34807	1.879936	0.43165738	7.271058e-08	3.41353e-07
ENSG00000132768	1570.225	-1.468821	0.07418401	1.506572e-89	1.298536e-87
ENSG00000132837	30.54736	5.155343	0.74761039	2.212543e-14	1.685765e-13
ENSG00000132911	6.322585	1.029736	1.06537416	0.003020915	0.007958984
ENSG00000132932	137.738	1.82616	0.33869481	4.729607e-10	2.671072e-09
ENSG00000132967	75.20234	-8.907039	1.36683839	1.120885e-15	9.153344e-15
ENSG00000133067	16.74613	3.570551	1.10121161	3.256763e-07	1.436922e-06
ENSG00000133106	104.4796	1.236151	0.25285676	1.376441e-08	6.902537e-08
ENSG00000133169	308.9427	8.367207	0.75458946	7.139097e-33	1.2693330000000001e-31
ENSG00000133316	866.5308	-1.115658	0.1007265	3.96145e-30	6.375594e-29
ENSG00000133401	153.462	1.382697	0.24255126	9.17786e-11	5.459948e-10
ENSG00000133466	284.9047	1.369823	0.1652205	7.801720999999999e-19	7.497604e-18
ENSG00000133805	51.28776	1.788385	0.45510782	4.476113e-07	1.948421e-06
ENSG00000133997	1593.785	-1.008461	0.06508055	1.813204e-55	6.982261e-54
ENSG00000134001	6450.256	-1.28629	0.04317879	4.398649e-197	2.426405e-194
ENSG00000134013	547.8507	1.453264	0.120234	6.655606e-36	1.324219e-34
ENSG00000134198	356.6869	1.383008	0.15738984	1.0092659999999999e-20	1.0691049999999999e-19
ENSG00000134245	291.5742	1.133221	0.1606042	3.735069e-14	2.797498e-13
ENSG00000134323	14.39018	1.248253	0.676661	0.0009056965	0.002608221
ENSG00000134508	2590.204	-1.481416	0.0521347	6.483984e-180	2.699417e-177
ENSG00000134668	70.07607	1.792432	0.3268594	2.793225e-10	1.603343e-09
ENSG00000134864	187.2358	2.013674	0.22631577	9.055957e-21	9.625226e-20
ENSG00000134917	35.7835	1.030057	0.39787452	0.0003467608	0.001068316
ENSG00000134955	90.65016	1.239032	0.25256939	1.245904e-08	6.273592e-08
ENSG00000135069	6784.271	1.315505	0.04279898	1.3215910000000002e-209	1.0414610000000001e-206
ENSG00000135116	338.5594	1.385808	0.13799763	6.266690999999999e-26	8.451989e-25
ENSG00000135218	15.61397	1.47181	0.71740002	0.0002966718	0.0009234114
ENSG00000135318	125.4021	2.644398	0.28504084	7.443635000000001e-23	8.764344e-22
