"","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","diffexpressed"
"4687","ENSG00000198408",5275.607,-0.1686251,0.03960019,1.903346e-05,6.994893e-05,"OGA","DOWN"
"4688","ENSG00000198431",6279.209,-0.5080243,0.05722852,3.259946e-19,3.184184e-18,"TXNRD1","DOWN"
"4689","ENSG00000198435",1322.019,-0.7973556,0.06855647,4.518841e-32,7.789705e-31,"NRARP","DOWN"
"4690","ENSG00000198464",621.519,-0.6069414,0.16123946,5.29883e-05,0.0001837766,"ZNF480","DOWN"
"4691","ENSG00000198467",179.8702,-0.5029272,0.17278328,0.001596109,0.004413301,"TPM2","DOWN"
"4692","ENSG00000198492",4550.813,-0.5819796,0.04046823,2.571853e-47,7.925689e-46,"YTHDF2","DOWN"
"4693","ENSG00000198498",1831.217,-0.359715,0.07561256,1.345313e-06,5.610345e-06,"TMA16","DOWN"
"4694","ENSG00000198522",1439.069,-0.3611827,0.06733615,5.588282e-08,2.658591e-07,"GPN1","DOWN"
"4695","ENSG00000198535",19.24288,-0.8033205,0.46741729,0.007216353,0.01765482,"C2CD4A","DOWN"
"4696","ENSG00000198546",1646.391,-0.4246512,0.06116197,2.282384e-12,1.516435e-11,"ZNF511","DOWN"
"4697","ENSG00000198554",2825.346,-0.4515641,0.05272255,6.025255e-18,5.546402e-17,"WDHD1","DOWN"
"4698","ENSG00000198563",15620.09,-0.5754298,0.03798251,2.93922e-52,1.040993e-50,"DDX39B","DOWN"
"4699","ENSG00000198576",56.76074,-1.233557,0.33281053,3.129058e-06,1.262668e-05,"ARC","DOWN"
"4700","ENSG00000198585",1564.342,-0.5984537,0.0687647,1.143459e-18,1.089397e-17,"NUDT16","DOWN"
"4701","ENSG00000198586",1452.207,-0.393975,0.09602277,2.568919e-05,9.293963e-05,"TLK1","DOWN"
"4702","ENSG00000198590",15.3916,-0.9680108,0.59211889,0.003820255,0.009873952,"APRG1","DOWN"
"4703","ENSG00000198604",3314.885,-1.315791,0.05000406,9.673049e-155,2.884268e-152,"BAZ1A","DOWN"
"4704","ENSG00000198612",2442.617,-0.2133398,0.05199952,3.587639e-05,0.0001272894,"COPS8","DOWN"
"4705","ENSG00000198618",710.6723,-0.3424618,0.08854298,7.758189e-05,0.0002633202,NA,"DOWN"
"4706","ENSG00000198646",1911.216,-0.2369527,0.08771256,0.005819418,0.01451893,"NCOA6","DOWN"
"4707","ENSG00000198668",9811.866,-1.136286,0.03828358,2.866359e-195,1.437414e-192,"CALM1","DOWN"
"4708","ENSG00000198690",1515.105,-0.4833529,0.06465834,3.911668e-14,2.92778e-13,"FAN1","DOWN"
"4709","ENSG00000198695",7386.932,-0.8169963,0.20949669,1.171729e-05,4.414239e-05,"ND6","DOWN"
"4710","ENSG00000198718",552.9196,-0.5093291,0.11330733,3.186986e-06,1.285103e-05,"TOGARAM1","DOWN"
"4711","ENSG00000198720",932.7873,-0.3503818,0.10227695,0.0004230713,0.001285645,"ANKRD13B","DOWN"
"4712","ENSG00000198721",2114.881,-0.5106553,0.06143549,4.426416e-17,3.894293e-16,"ECI2","DOWN"
"4713","ENSG00000198722",1219.525,-0.3720086,0.07424838,3.632606e-07,1.597637e-06,"UNC13B","DOWN"
